des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_km,is_potentially_hazardous
2009 RT1,17,2455059.718149144,2009-Aug-16 05:14,0.0429333793596351,0.042933059094317,0.0429336996270153,3.25346051018974,3.2343289437115,< 00:01,23.8,0.046190746,0.1032856481,42683583.55513394,False
2009 QC23,20,2455062.360178688,2009-Aug-18 20:39,0.022137636853295,0.0220919325487224,0.0221833404961679,8.34297768241442,8.32853871988147,< 00:01,24.8,0.0291443905,0.0651688382,3155079.934713516,False
2009 QL32,13,2455063.867382079,2009-Aug-20 08:49,0.0336454895329257,0.033381236699535,0.033909739370905,14.728363870805,14.7229860008524,< 00:01,24.6,0.0319561887,0.0714562102,5033293.564307365,False
2009 QR,12,2455064.172569279,2009-Aug-20 16:08,0.0087181121713625,0.0087044378421172,0.0087317855445341,5.29634105533677,5.23831815832716,< 00:01,27.4,0.0088014652,0.0196806745,46750808.931285016,False
2022 QA,3,2455064.508191683,2009-Aug-21 00:12,0.0471849754327273,0.001847251536175,0.120609693442528,13.7536594729129,13.7495531301931,7_21:20,26.95,0.0108281678,0.0242125192,10026962.39279848,False
2009 QG2,18,2455067.914113058,2009-Aug-24 09:56,0.0238392396691624,0.0237075822408871,0.0239708921978076,8.16675253486232,8.15305523657078,< 00:01,23.24,0.0597798714,0.1336718562,3566299.481539439,False
451124,99,2455068.044732843,2009-Aug-24 13:04,0.0488578612178841,0.0488578575117288,0.0488578649240506,11.8101999981331,11.8055814488738,< 00:01,18.08,,,,
459872,97,2455068.841389267,2009-Aug-25 08:12,0.0301512157185803,0.0301510491892237,0.030151382247918,3.08467010507183,3.05588752557053,< 00:01,23.36,,,,
2009 QK9,16,2455073.669960675,2009-Aug-30 04:05,0.0111174159602216,0.0110891163794977,0.0111457152287486,14.8699247052819,14.853798384643,< 00:01,23.2,0.0608912622,0.1361570015,14133099.790593551,False
2020 CK1,3,2455073.746479908,2009-Aug-30 05:55,0.0051001223998052,0.0048240414317696,0.122661267612947,8.82482216813981,8.76542169653098,5_09:55,26.6,0.0127219879,0.0284472297,762967.447779288,False
2009 QH34,13,2455074.317981589,2009-Aug-30 19:38,0.0112514052848898,0.0112420227166234,0.0112607877317099,7.86306715939615,7.83289212871809,< 00:01,24.9,0.0278326768,0.0622357573,18882527.596790016,False
2009 RU1,13,2455075.998829636,2009-Sep-01 11:58,0.0153928040894575,0.0153922614033068,0.015393346777604,10.7637530360402,10.7476593440755,< 00:01,24.2,0.0384197891,0.0859092601,46499101.00058549,False
2009 QC35,11,2455076.983714477,2009-Sep-02 11:37,0.0075050185646791,0.0074856677041408,0.0075243687428263,10.1615100468755,10.1265114296733,< 00:01,25.4,0.022108281,0.0494356193,1061055.265954068,False
2017 FD157,15,2455078.834374819,2009-Sep-04 08:01,0.0431233570633869,0.0431218605058685,0.043124853700067,11.6133271300733,11.6080055248952,< 00:01,22.38,0.0888290416,0.1986277755,68588407.91038445,False
2009 SW1,19,2455079.308268273,2009-Sep-04 19:24,0.0247840236430184,0.0246914513268047,0.0248765948931302,10.9194303014584,10.9095802956618,00:06,23.7,0.0483676488,0.1081533507,3707637.140589732,False
2019 XV,9,2455080.052644559,2009-Sep-05 13:16,0.0440033663349089,0.0393424508981733,0.0486685148530502,2.76054060491366,2.73851802979716,19:11,29.2,0.0038419789,0.008590926,39789777.16804307,False
2009 SC1,11,2455080.46408573,2009-Sep-05 23:08,0.03923748847629,0.0385109954625826,0.0399639577204964,12.3005528499065,12.2950310074086,00:04,24.6,0.0319561887,0.0714562102,5869844.703749495,False
2009 SD,11,2455080.684339227,2009-Sep-06 04:25,0.0074742364594209,0.0073787786040036,0.0075696879707001,15.4080074550286,15.384853484379,00:27,25.54,0.0207278843,0.0463489584,15554667.71718684,False
2020 RZ6,7,2455082.456531356,2009-Sep-07 22:57,0.0482001268206959,0.0263624755292235,0.0702221329688676,9.77588431824591,9.77022800071657,3_17:29,26.54,0.0130784109,0.0292442157,74578357.96717343,False
2010 RF12,25,2455083.862307102,2009-Sep-09 08:42,0.0272971830412198,0.0272891474322643,0.0273052186589841,4.39324123064088,4.37096653101434,< 00:01,28.42,0.0055024357,0.0123038203,52995374.44313569,False
2009 SN,11,2455084.727003824,2009-Sep-10 05:27,0.0456167559274825,0.0440833462997079,0.0471501143347423,15.128192739165,15.1243312364737,00:03,21.7,0.1214940408,0.2716689341,6824169.518949933,True
2012 EP10,10,2455085.700211519,2009-Sep-11 04:48,0.0416375425260507,0.0361744534168265,0.0470977788610527,4.0659944982566,4.05022552373576,02:47,29.1,0.0040230458,0.0089958039,1403243.818135072,False
2009 RY3,9,2455086.153975852,2009-Sep-11 15:42,0.0049822869411996,0.0049424107208358,0.0050221615209835,20.2538381130226,20.2274164802032,< 00:01,24.6,0.0319561887,0.0714562102,55656672.21536391,False
